,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
152,"Una Locura",Ozuna,873044,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
153,"Just the Way You Are","Bruno Mars",872074,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
154,"Break My Heart","Dua Lipa",867829,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
155,"Rain On Me (with Ariana Grande)","Lady Gaga",866501,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
156,"Life Goes On",BTS,866397,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
157,"All Girls Are The Same","Juice WRLD",863865,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
158,"POPSTAR (feat. Drake)","DJ Khaled",861914,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
159,"Every Breath You Take","The Police",859800,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
160,"my ex's best friend (with blackbear)","Machine Gun Kelly",859367,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
161,Starboy,"The Weeknd",858495,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
162,"Godzilla (feat. Juice WRLD)",Eminem,856647,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
163,"7 rings","Ariana Grande",853785,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
164,"SICKO MODE","Travis Scott",852938,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
165,"Put Your Records On","Ritt Momney",842662,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
166,"Parce (feat. Justin Quiles)",Maluma,842489,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
167,"Why'd You Only Call Me When You're High?","Arctic Monkeys",842111,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
168,SAD!,XXXTENTACION,837780,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
169,"If the World Was Ending - feat. Julia Michaels","JP Saxe",837157,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
